GSE_id,Organism
GSE104606,Pyricularia oryzae
GSE10983,Aspergillus oryzae
GSE110062,Thermothelomyces thermophilus
GSE111986,Thermothelomyces thermophilus
GSE112580,Botrytis cinerea
GSE113404,Aspergillus fumigatus
GSE114057,Thermothelomyces thermophilus
GSE116274,Botrytis cinerea
GSE116741,Botrytis cinerea
GSE11725,Aspergillus oryzae
GSE11930,Aspergillus oryzae
GSE119735,Phanerodontia chrysosporium
GSE120933,Botrytis cinerea
GSE123159,Aspergillus fumigatus
GSE123178,Coprinopsis cinerea
GSE123445,Aspergillus fumigatus
GSE123446,Aspergillus fumigatus
GSE125184,Coprinopsis cinerea
GSE125199,Phanerodontia chrysosporium
GSE125200,Coprinopsis cinerea
GSE125200,Phanerodontia chrysosporium
GSE125225,Botrytis cinerea
GSE125225,Trichoderma virens
GSE12598,Pyricularia oryzae
GSE12859,Aspergillus oryzae
GSE129967,Aspergillus fumigatus
GSE130968,Valsa mali
GSE131036,Fusarium graminearum
GSE131190,Fusarium graminearum
GSE133464,Aspergillus fumigatus
GSE133491,Aspergillus fumigatus
GSE135014,Botrytis cinerea
GSE135817,Aspergillus fumigatus
GSE135818,Aspergillus fumigatus
GSE137286,Thermothelomyces thermophilus
GSE138291,Botrytis cinerea
GSE13868,Aspergillus oryzae
GSE13977,Botrytis cinerea
GSE13977,Gelatoporia subvermispora
GSE13977,Phanerodontia chrysosporium
GSE141822,Botrytis cinerea
GSE144526,Botrytis cinerea
GSE14637,Botrytis cinerea
GSE14734,Phanerodontia chrysosporium
GSE14735,Phanerodontia chrysosporium
GSE14736,Phanerodontia chrysosporium
GSE151210,Botrytis cinerea
GSE151629,Gelatoporia subvermispora
GSE152682,Aspergillus fumigatus
GSE153084,Pyricularia oryzae
GSE154134,Botrytis cinerea
GSE156537,Aspergillus fumigatus
GSE15702,Aspergillus oryzae
GSE162838,Botrytis cinerea
GSE162839,Fusarium graminearum
GSE165516,Thermothelomyces thermophilus
GSE16617,Aspergillus fumigatus
GSE175908,Botrytis cinerea
GSE181528,Valsa mali
GSE181592,Botrytis cinerea
GSE183387,Thermothelomyces thermophilus
GSE185550,Coprinopsis cinerea
GSE185551,Coprinopsis cinerea
GSE18851,Aspergillus oryzae
GSE19430,Aspergillus fumigatus
GSE195841,Botrytis cinerea
GSE19682,Aspergillus fumigatus
GSE19832,Trichoderma virens
GSE19952,Aspergillus oryzae
GSE20516,Trichoderma virens
GSE20628,Coprinopsis cinerea
GSE21015,Aspergillus oryzae
GSE21072,Trichoderma virens
GSE21297,Aspergillus fumigatus
GSE2169,Botrytis cinerea
GSE21908,Pyricularia oryzae
GSE22052,Aspergillus fumigatus
GSE22566,Aspergillus oryzae
GSE23438,Trichoderma virens
GSE24630,Trichoderma virens
GSE24636,Fusarium graminearum
GSE26925,Aspergillus fumigatus
GSE27323,Thermothelomyces thermophilus
GSE27428,Aspergillus fumigatus
GSE27484,Aspergillus oryzae
GSE27581,Trichoderma virens
GSE27941,Phanerodontia chrysosporium
GSE29171,Trichoderma virens
GSE29973,Fusarium graminearum
GSE30256,Pyricularia oryzae
GSE30327,Pyricularia oryzae
GSE30384,Aspergillus fumigatus
GSE30545,Fusarium graminearum
GSE30579,Aspergillus fumigatus
GSE31046,Aspergillus oryzae
GSE32871,Trichoderma virens
GSE33542,Aspergillus oryzae
GSE34636,Gelatoporia subvermispora
GSE35604,Aspergillus fumigatus
GSE36448,Trichoderma virens
GSE39111,Trichoderma virens
GSE40590,Aspergillus oryzae
GSE41612,Aspergillus oryzae
GSE41965,Trichoderma virens
GSE42359,Trichoderma virens
GSE43019,Volvariella volvacea
GSE43277,Pyricularia oryzae
GSE43280,Aspergillus oryzae
GSE43843,Pyricularia oryzae
GSE43844,Pyricularia oryzae
GSE43845,Pyricularia oryzae
GSE46559,Aspergillus fumigatus
GSE48207,Botrytis cinerea
GSE48864,Aspergillus oryzae
GSE48898,Talaromyces marneffei
GSE50481,Botrytis cinerea
GSE51109,Talaromyces marneffei
GSE51192,Botrytis cinerea
GSE51597,Pyricularia oryzae
GSE52586,Botrytis cinerea
GSE53629,Trichoderma virens
GSE54542,Phanerodontia chrysosporium
GSE55086,Aspergillus fumigatus
GSE55663,Aspergillus fumigatus
GSE55743,Aspergillus fumigatus
GSE55943,Aspergillus fumigatus
GSE5684,Botrytis cinerea
GSE57235,Thermothelomyces thermophilus
GSE57586,Botrytis cinerea
GSE57587,Botrytis cinerea
GSE57629,Aspergillus oryzae
GSE59177,Fusarium graminearum
GSE59350,Trichoderma virens
GSE61974,Aspergillus fumigatus
GSE61981,Aspergillus oryzae
GSE62427,Coprinopsis cinerea
GSE63021,Botrytis cinerea
GSE65969,Botrytis cinerea
GSE66289,Botrytis cinerea
GSE66290,Botrytis cinerea
GSE66300,Botrytis cinerea
GSE6649,Phanerodontia chrysosporium
GSE66835,Trichoderma virens
GSE66982,Trichoderma virens
GSE69008,Phanerodontia chrysosporium
GSE69012,Phanerodontia chrysosporium
GSE69461,Phanerodontia chrysosporium
GSE69490,Fusarium graminearum
GSE69723,Aspergillus fumigatus
GSE71604,Fusarium graminearum
GSE73006,Botrytis cinerea
GSE74916,Pyricularia oryzae
GSE75412,Aspergillus fumigatus
GSE76534,Aspergillus oryzae
GSE77969,Aspergillus fumigatus
GSE79679,Botrytis cinerea
GSE79961,Botrytis cinerea
GSE81956,Aspergillus fumigatus
GSE83282,Botrytis cinerea
GSE8517,Pyricularia oryzae
GSE8518,Pyricularia oryzae
GSE8670,Pyricularia oryzae
GSE88985,Botrytis cinerea
GSE9275,Aspergillus oryzae
GSE9276,Aspergillus oryzae
GSE9277,Aspergillus oryzae
GSE9298,Aspergillus oryzae
GSE95738,Botrytis cinerea
GSE95798,Aspergillus fumigatus
GSE97495,Aspergillus fumigatus
GSE97539,Aspergillus fumigatus
GSE99617,Coprinopsis cinerea
