GSE_id,pubmed_id
GSE6649,17308906
GSE9275,18332432
GSE9276,18332432
GSE9277,18332432
GSE9298,18332432
GSE12859,19168657
GSE14734,19376920
GSE14735,19376920
GSE14736,19376920
GSE11725,19409083
GSE14637,19465579
GSE13868,19696104
GSE15702,19784673
GSE19682,20361043
GSE18851,20392818
GSE14734,20400566
GSE14735,20400566
GSE14736,20400566
GSE20628,20547848
GSE19430,20645385
GSE22052,20941352
GSE2169,21203445
GSE26925,21300833
GSE24630,21421791
GSE19832,21501500
GSE23438,21501500
GSE10983,21543515
GSE27941,21551287
GSE21072,21619626
GSE16617,21724168
GSE21297,21755315
GSE27323,21964414
GSE30384,22023286
GSE29171,22075029
GSE27581,22182583
GSE27484,22212063
GSE33542,22327593
GSE24636,22385623
GSE35604,22430960
GSE34636,22434909
GSE32871,22462823
GSE30545,22559730
GSE39111,23028710
GSE40590,23063954
GSE19832,23432824
GSE23438,23432824
GSE48207,23607369
GSE41612,23729383
GSE48898,23851338
GSE51109,24062530
GSE32871,24070552
GSE36448,24070552
GSE43280,24391870
GSE29171,24413597
GSE51192,24415947
GSE34636,24441164
GSE53629,24655731
GSE57235,24881579
GSE27581,24893562
GSE36448,24893562
GSE53629,24941042
GSE55943,24948085
GSE54542,25107961
GSE57629,25132833
GSE57586,25232357
GSE57587,25232357
GSE48898,25330172
GSE61974,25375670
GSE63021,25625818
GSE59177,25627458
GSE52586,25675955
GSE62427,25725429
GSE41965,25729429
GSE42359,25729429
GSE59350,25729429
GSE55663,26055366
GSE66289,26076231
GSE66290,26076231
GSE66300,26076231
GSE66982,26248555
GSE71604,26248604
GSE69461,26341198
GSE55743,26356475
GSE73006,26583019
GSE66982,26909077
GSE69008,27208101
GSE69012,27208101
GSE81956,27306610
GSE69723,27346433
GSE79679,27347834
GSE43019,27405087
GSE83282,27578449
GSE75412,27664992
GSE79961,27868335
GSE69723,28280489
GSE77969,28280489
GSE95738,28382431
GSE97539,28423062
GSE88985,28616073
GSE97495,28753224
GSE27581,28809958
GSE36448,28809958
GSE95798,29614953
GSE112580,29790574
GSE119735,30209877
GSE113404,30240513
GSE65969,30256508
GSE99617,30384911
GSE123159,30862750
GSE123445,30862750
GSE123446,30862750
GSE125200,30902897
GSE125184,30902897
GSE125199,30902897
GSE66835,31191472
GSE116274,31304217
GSE116741,31304217
GSE36448,31358805
GSE135014,31386282
GSE137286,31534479
GSE135818,31817957
GSE131190,31822585
GSE129967,31969561
GSE133464,31969561
GSE133491,31969561
GSE125225,32101077
GSE154134,32858932
GSE156537,33056992
GSE144526,33135964
GSE152682,33419224
GSE144526,34497619
GSE185550,35232254
GSE185551,35232254
